,Date,Open,High,Low,Close,Volume,Market_Cap,Spread,Month_Year,Unemployment_Percentage,USDI,Y_Average,DOW_Close,NASDAQ_Close,SP500_Close,Average_Close
358,2014-04-21,497.74,510.57,493.2,495.77,15171400.0,6284666435.0,17.37,2014-04,6.2,79.94,499.32,16449.25,4121.549805,1871.890015,7480.896606666666
359,2014-04-22,495.45,503.22,487.58,487.92,11670900.0,6187034895.0,15.64,2014-04,6.2,79.91,493.5425,16514.36914,4161.459961,1879.550049,7518.459716666667
360,2014-04-23,488.36,493.25,485.82,491.3,9814530.0,6231920621.0,7.43,2014-04,6.2,79.86,489.6825,16501.65039,4126.970215,1875.390015,7501.336873333334
361,2014-04-24,490.83,500.46,482.95,500.46,13009400.0,6350012525.0,17.51,2014-04,6.2,79.8,493.675,16501.65039,4148.339844,1878.609985,7509.533406333332
362,2014-04-25,500.09,500.3,442.95,461.45,46856500.0,5857079867.0,57.35,2014-04,6.2,79.75,476.1975,16361.45996,4075.5600590000004,1863.4000239999998,7433.473347666666
365,2014-04-28,430.72,447.53,422.94,440.29,23876600.0,5593864954.0,24.59,2014-04,6.2,79.68,435.37,16448.74023,4074.399902,1869.430054,7464.190062000001
366,2014-04-29,439.98,451.64,435.18,447.21,16401400.0,5683724524.0,16.46,2014-04,6.2,79.81,443.5025,16535.36914,4103.540039,1878.3299559999998,7505.746378333333
367,2014-04-30,446.89,451.1,436.7,447.64,15244900.0,5690810165.0,14.4,2014-04,6.2,79.47,445.5825,16580.83984,4114.560059,1883.949951,7526.449949999999
368,2014-05-01,447.63,460.61,447.63,457.76,12871800.0,5821425472.0,12.98,2014-05,6.3,79.53,453.40749999999997,16558.86914,4127.450195,1883.680054,7523.3331296666665
369,2014-05-02,457.36,457.93,443.4,449.38,10394200.0,5716625927.0,14.53,2014-05,6.3,79.52,452.01750000000004,16512.89063,4123.899902,1881.140015,7505.9768490000015
372,2014-05-05,434.78,440.97,427.62,433.48,10004800.0,5518951942.0,13.35,2014-05,6.3,79.49,434.2125,16530.55078,4138.060059,1884.660034,7517.756957666667
373,2014-05-06,433.36,448.04,423.25,428.96,12507300.0,5463474513.0,24.79,2014-05,6.3,79.09,433.40250000000003,16401.01953,4080.76001,1867.719971,7449.833170333334
374,2014-05-07,429.34,446.13,428.45,438.82,18332200.0,5590798951.0,17.68,2014-05,6.3,79.2,435.685,16518.53906,4067.669922,1878.209961,7488.139647666667
375,2014-05-08,438.68,448.4,438.14,440.17,9446580.0,5609810850.0,10.26,2014-05,6.3,79.36,441.34749999999997,16550.9707,4051.5,1875.630005,7492.700235
376,2014-05-09,440.18,452.69,440.14,449.46,10347900.0,5730133343.0,12.55,2014-05,6.3,79.9,445.6175,16583.33984,4071.8701170000004,1878.47998,7511.229979
379,2014-05-12,438.3,442.26,434.23,441.46,7383770.0,5633629021.0,8.03,2014-05,6.3,79.9,439.0625,16695.4707,4143.859863000001,1896.6500239999998,7578.660195666667
380,2014-05-13,441.53,441.98,436.97,440.67,7682670.0,5625308533.0,5.01,2014-05,6.3,80.14,440.2875,16715.43945,4130.169922,1897.449951,7581.019774333334
381,2014-05-14,440.59,446.66,440.5,443.97,9472960.0,5669111766.0,6.16,2014-05,6.3,80.07,442.93,16613.9707,4100.629883,1888.530029,7534.376870666667
